#              ************************************
#              *****    GLOBAL ATTRIBUTES    ******
#              ************************************
#
#     TITLE                           WIND> Solar Wind Parameters
#     PROJECT                         ISTP>International Solar-Terrestrial Physics
#     DISCIPLINE                      Space Physics>Interplanetary Studies
#     SOURCE_NAME                     WIND>Wind Interplanetary Plasma Laboratory
#     DESCRIPTOR                      SWE>Solar Wind Experiment
#     DATA_TYPE                       K0>Key Parameter
#     DATA_VERSION                    1
#     TEXT                            SWE, a comprehensive plasma instrument for the WIND spacecraft, K.W.
#                                     Ogilvie, et al., Space Sci. Rev., 71, 55-77, 1995
#                                     
#                                     USE OF THE QUALITY VARIABLES:
#                                     
#                                     *** Good data is indicated by a quality flag of 0. ***
#                                     The quality flags for each parameter are given as integers 4 bytes
#                                     long (integer*4).  The individual 'bits' for each quality value are set
#                                     (or cleared) in the analysis code by adding (or subtracting) a power of
#                                     2 as follows:
#                                     To set the 1st bit, add 1.
#                                     To set the 2nd bit, add 2,
#                                     To set the 3rd bit, add 4,
#                                     To set the 4th bit, add 8, and so on.
#                                     
#                                     BIT  TO_SET_BIT     MEANING
#                                     1    +1         = 3 point parabolic fits to proton peaks were not attempted.
#                                     2    +2         = non-linear least squares fit was not attempted.
#                                     3    +4         = 3 point parabolic fits to proton peaks FAILED.
#                                     4    +8         = non-linear least squares fit FAILED.
#                                     
#                                     See https://cdaweb.gsfc.nasa.gov/wind_swe_quality.html
#                                     For the complete guide to the quality flag values.
#                                     
#     MODS                            12/28/94, 3/4/96, by Alan J. Lazarus John T. Steinberg Daniel B. Berdichevsky.
#                                     Skeleton TABLE for plasma CDF SWE keyparameters, dbb, Jan., 1994.
#                                     Instr. qual. flags validmax setequal to +2147483647, 12/94. Qual. flags format                         
#                                      changed to compatible values with new validmax, jts and ajl, 12/94.                                   
#                                     Processing with instrument science modes 2 and 11 added, jts and dbb, 10/27/95.                        
#                                      DICT_KEYs added ajl, 3/4/96.                                                                          
#     ADID_REF                        NSSD0138
#     LOGICAL_FILE_ID                 WI_K0_SWE_00000000_V01
#     LOGICAL_SOURCE                  WI_K0_SWE
#     LOGICAL_SOURCE_DESCRIPTION      Wind SWE (Solar Wind Experiment), Key Parameters
#     PI_NAME                         K. Ogilvie
#     PI_AFFILIATION                  NASA GSFC
#     INSTRUMENT_TYPE                 Plasma and Solar Wind
#     LINK_TEXT                       Wind SWE
#     LINK_TITLE                      Home Page
#     HTTP_LINK                       http://web.mit.edu/afs/athena/org/s/space/www/wind.html
#     NSSDC_ID                        sphe-00752
#     ALT_LOGICAL_SOURCE              Wind_SWE_Ion-Moments-Key-Parameters-K0_92sec_cdf
#     MISSION_GROUP                   Wind
#                                     !___Interplanetary Data near 1 AU
#     SPASE_DATASETRESOURCEID         spase://NASA/NumericalData/Wind/SWE/IonMoments/KeyParameter/PT99S
#     CDAWEB_PARENTS                  wi_k0_swe_00000000_v01
#                                     wi_k0_swe_20081217_v01
#     CDFMAJOR                        COL_MAJOR
#
#              ************************************
#              ****  RECORD VARYING VARIABLES  ****
#              ************************************
#
#  1. Time, centered, in NSSDC Epoch
#  2. 1/2 time interval to collect data for parameters
#  3. Solar Wind Velocity in GSE coord., 3 comp.
#
EPOCH                        DEL_TIME      VX_(GSE)      VY_(GSE)      VZ_(GSE)
                                             (@_x_)        (@_y_)        (@_z_)
dd-mm-yyyy hh:mm:ss.ms             ms          km/s          km/s          km/s
17-12-2008 00:02:08.968       8471.82      -362.834      -7.11462      -4.55152
17-12-2008 00:03:43.955       17510.0      -365.345      -7.76675      -9.61967
17-12-2008 00:05:18.801       17510.0      -364.748      -6.23590      -6.64053
17-12-2008 00:07:05.745       14590.8      -365.037      -6.32520      -7.99578
17-12-2008 00:08:37.531       14590.9      -366.006      -3.88667      -11.6156
17-12-2008 00:10:15.437       14591.0      -365.302      -5.24808      -10.1237
17-12-2008 00:11:53.343       14591.0      -365.413      -3.91940      -10.1444
17-12-2008 00:13:29.859       15980.1      -363.578      -5.12936      -11.6569
17-12-2008 00:15:13.884       15980.2      -363.210      -5.66540      -9.71212
17-12-2008 00:16:50.260       17509.8      -363.527      -4.45395      -7.00200
17-12-2008 00:18:28.026       8471.82      -362.769      -3.82582      -7.86793
17-12-2008 00:20:03.012       17510.0      -362.656      -6.31482      -7.52350
17-12-2008 00:21:43.977       17509.8      -363.439      -6.47584      -6.91525
17-12-2008 00:23:21.883       17510.0      -363.777      -8.16057      -6.84701
17-12-2008 00:25:02.707       14590.8      -365.030      -1.83008      -9.02334
17-12-2008 00:26:31.575       17510.0      -362.685      -6.09292      -9.98648
17-12-2008 00:28:18.520       14591.0      -364.373      -3.29233      -10.0441
17-12-2008 00:29:50.305       14590.9      -364.143      -2.10824      -10.5088
17-12-2008 00:31:25.292       14450.5      -362.953      -4.08452      -10.6099
17-12-2008 00:33:06.117       14590.8      -363.012      -7.00588      -11.8137
17-12-2008 00:34:45.552       6942.03      -361.191      -2.13629      -10.0741
17-12-2008 00:36:20.539       15980.1      -361.919      -1.36985      -11.0611
17-12-2008 00:37:56.915       14450.5      -361.247      0.248718      -14.2199
17-12-2008 00:39:39.409       15980.2      -362.061      -2.85481      -11.2602
17-12-2008 00:41:20.234       13061.0      -364.022      -5.10352      -15.1561
17-12-2008 00:42:52.021       13061.2      -363.932      -3.80854      -15.6415
17-12-2008 00:44:31.456       14590.8      -364.493      -5.75334      -11.5671
17-12-2008 00:46:09.362       14591.0      -364.110      -3.56863      -9.93751
17-12-2008 00:47:45.738       13061.0      -362.947     -0.126703      -17.8574
17-12-2008 00:49:23.644       13061.2      -363.756     -0.617807      -17.9404
17-12-2008 00:51:06.139       8471.73      -365.305      -1.58672      -17.4600
17-12-2008 00:52:44.045       14590.9      -365.725      -2.45576      -17.9595
17-12-2008 00:54:18.890       14591.0      -367.754      -1.81451      -18.5041
17-12-2008 00:55:56.796       14590.8      -365.504     -0.631863      -18.2558
17-12-2008 00:57:33.172       13061.2      -362.920     -0.659513      -20.2685
17-12-2008 00:59:11.077       13061.0      -362.389     -0.391653      -20.7470
17-12-2008 01:00:48.984       13061.2      -362.268      -1.50120      -18.5940
17-12-2008 01:02:26.888       13061.0      -361.449     -0.192133      -20.6256
17-12-2008 01:04:04.795       13061.2      -362.719      -1.98522      -20.4921
17-12-2008 01:05:42.700       13061.0      -362.601      -2.35144      -19.2877
17-12-2008 01:07:23.665       6942.03      -363.141     -0.955183      -13.1918
17-12-2008 01:09:01.571       13061.2      -361.908       3.18036      -16.5308
17-12-2008 01:10:37.947       14590.8      -363.323       6.46013      -11.9268
17-12-2008 01:12:14.323       13061.2      -362.275       9.09245      -12.0074
17-12-2008 01:13:52.228       13061.0      -361.631       5.60894      -13.3786
17-12-2008 01:15:33.194       13061.1      -361.947       5.47493      -12.1497
17-12-2008 01:17:08.040       13061.2      -362.477       4.64235      -16.9111
17-12-2008 01:18:45.946       13061.2      -362.237       3.65169      -18.8931
17-12-2008 01:20:28.440       14590.8      -363.101      0.704992      -10.6102
17-12-2008 01:22:07.876       13061.2      -361.611     -0.709824      -14.5220
17-12-2008 01:23:47.311       8471.73      -362.829    -0.0228920      -9.67826
17-12-2008 01:25:17.708       15980.2      -361.792      -3.81134      -9.03391
17-12-2008 01:26:57.144       14450.3      -360.970      -3.82739      -10.9653
17-12-2008 01:28:38.109       14450.5      -361.835      -2.04506      -10.5758
17-12-2008 01:30:12.955       14450.3      -361.810      -2.41063      -11.4771
17-12-2008 01:31:49.331       15980.2      -361.071     -0.443062      -9.98978
17-12-2008 01:33:34.746       14591.0      -363.817      -2.39264      -9.58006
17-12-2008 01:35:08.202       15980.1      -363.597      -2.98397      -10.5380
17-12-2008 01:36:44.438       14591.0      -364.004      -1.93774      -9.83291
17-12-2008 01:38:20.953       15980.1      -363.945      -3.97275      -8.29963
17-12-2008 01:40:00.249       8471.82      -363.857      -7.79072      -6.73079
17-12-2008 01:41:35.236       17510.0      -364.292      -7.62054      -5.87891
17-12-2008 01:43:13.142       17509.8      -364.412      -9.47343      -4.91474
17-12-2008 01:44:54.107       17510.0      -362.329      -7.78873      -5.96697
17-12-2008 01:46:30.483       15980.2      -363.567      -6.74045      -11.2726
17-12-2008 01:48:06.719       14591.0      -365.249       5.11827      -15.1189
