S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,1530.2354_0Ac,2011-01-02,17:39:00,     271,      62,     135,      -5,      58,      -8,1530.2667_0B,WS,      85, FF ;  faint
B,1530.2667_0B,2011-01-02,18:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1530.2354_0Ac,W,      90, FF ;  faint
A,1531.5167_0A,2011-01-04,00:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1531.5792_0B,W,      85, faint
B,1531.5792_0B,2011-01-04,01:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1531.5167_0A,W,      90, faint
A,1531.7458_0A,2011-01-04,05:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1531.7667_0B,F,      85,NULL
B,1531.7667_0B,2011-01-04,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1531.7458_0A,F,      90,NULL
A,1533.9750_0A,2011-01-06,11:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1533.9854_0B,O,      85, faint
B,1533.9854_0B,2011-01-06,11:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1533.9750_0A,O,      90, faint
A,1535.3188_0A,2011-01-07,19:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1535.3708_0B,U,      85,NULL
B,1535.3708_0B,2011-01-07,20:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1535.3188_0A,U,      90,NULL
A,1535.6104_0A,2011-01-08,02:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1535.8083_0B,F,      85, SB ;  OFL
B,1535.8083_0B,2011-01-08,07:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1535.6104_0A,F,      90, SB ;  OFL
A,1536.7667_0A,2011-01-09,06:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1536.7875_0B,U,      85,NULL
B,1536.7875_0B,2011-01-09,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1536.7667_0A,U,      90,NULL
A,1537.3292_0Ac,2011-01-09,21:24:00,      32,      33,     281,       9,     243,       1,1537.4021_0Bc,F,      85, OFL ;  SB
B,1537.4021_0Bc,2011-01-09,23:24:44,     329,      30,     241,       3,     209,      13,1537.3292_0Ac,F,      90, OFL ;  SB
A,1538.2250_0A,2011-01-10,17:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1538.2354_0B,J,      85,NULL
B,1538.2354_0B,2011-01-10,17:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1538.2250_0A,J,      90,NULL
A,1538.4542_0A,2011-01-10,22:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1538.4854_0B,O,      85, GAP
B,1538.4854_0B,2011-01-10,23:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1538.4542_0A,O,      90, GAP
A,1539.3917_0A,2011-01-11,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1539.4333_0B,F,      85, faint
B,1539.4333_0B,2011-01-11,22:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1539.3917_0A,F,      91, faint
A,1539.8917_0Ac,2011-01-12,09:24:00,     235,      61,     446,      14,     109,     -19,1539.9333_0B,L,      85, OVR
B,1539.9333_0B,2011-01-12,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1539.8917_0Ac,L,      91, OVR
A,1539.9854_0A,2011-01-12,11:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1540.0583_0B,LP,      85, HAL ; OVR
B,1540.0583_0B,2011-01-12,13:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1539.9854_0A,LP,      91, HAL ; OVR ; faint
A,1540.4021_0A,2011-01-12,21:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1540.4542_0B,WP,      85, FF ; OVR
B,1540.4542_0B,2011-01-12,22:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1540.4021_0A,WP,      91, FF ; OVR
A,1540.9125_0Ac,2011-01-13,10:24:00,     293,     109,     -21,     -53,     -20,     -69,1540.9333_0Bc,LS,      85, HAL ;  OFL
B,1540.9333_0Bc,2011-01-13,10:24:43,      63,     107,     646,       0,     714,      50,1540.9125_0Ac,LS,      91, HAL ;  OFL
A,1541.3188_0A,2011-01-13,19:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1541.3917_0B,O,      85, FF
B,1541.3917_0B,2011-01-13,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1541.3188_0A,O,      91, FF
A,1541.6833_0A,2011-01-14,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1541.6833_0B,LPS,      85, HAL
B,1541.6833_0B,2011-01-14,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1541.6833_0A,LPS,      91, HAL
A,1544.1625_0A,2011-01-16,15:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1544.2250_0B,F,      85, faint ; DB 
B,1544.2250_0B,2011-01-16,17:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1544.1625_0A,F,      91, faint ;  SB
A,1544.4021_0A,2011-01-16,21:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1544.4125_0B,J,      85,NULL
B,1544.4125_0B,2011-01-16,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1544.4021_0A,J,      91,NULL
A,1545.6833_0A,2011-01-18,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1545.6833_0B,F,      85,NULL
B,1545.6833_0B,2011-01-18,04:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1545.6833_0A,F,      91,NULL
A,1545.8708_0A,2011-01-18,08:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1545.9333_0B,J,      85,NULL
B,1545.9333_0B,2011-01-18,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1545.8708_0A,J,      91,NULL
A,1546.3917_0A,2011-01-18,21:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1546.4125_0B,O,      85, HAL ; faint
B,1546.4125_0B,2011-01-18,21:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1546.3917_0A,O,      91, faint ; HAL
A,1546.9333_0A,2011-01-19,10:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1547.0375_0B,F,      85, SB ;  OFL
B,1547.0375_0B,2011-01-19,12:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1546.9333_0A,F,      91, SB
A,1547.7875_0A,2011-01-20,06:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1547.8083_0B,F,      85, OVR ; GAP
B,1547.8083_0B,2011-01-20,07:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1547.7875_0A,F,      92, GAP ; OVR
A,1548.1833_0A,2011-01-20,16:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.1833_0Bc,F,      85, OFL ;  3P ;  CS
B,1548.1833_0Bc,2011-01-20,17:24:42,     124,      35,     327,      15,     125,       3,1548.1833_0A,F,      92, OFL ;  3P ;  CS
A,1548.3188_0A,2011-01-20,19:39:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.3500_0B,W,      85, FF ;  faint
B,1548.3500_0B,2011-01-20,20:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.3188_0A,W,      92, FF ;  faint
A,1548.5167_0A,2011-01-21,00:24:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.5375_0B,W,      85, OVR ;  FF 
B,1548.5375_0B,2011-01-21,00:54:00,    -999,    -999,    -999,    -999,    -999,    -999,1548.5167_0A,W,      92, OVR ; FF
