S/C,Event ID,Date,Time,CPA,Width,Vrad,Radial Accel.,Vexp,Expansion Accel.,Cross Id,Type,Sep. Angle,Comments
A,2624.7250_0A,1/1/14,5:24:00,-999,-999,-999,-999,-999,-999,2624.7250_0B,J,150, faint
B,2624.7250_0B,1/1/14,5:24:00,-999,-999,-999,-999,-999,-999,2624.7250_0A,J,151, faint
A,2625.1104_0Ac,1/1/14,15:24:00,201,53,484,16,357,11,2625.1625_0B,F,150, F ; Ha ; 3P ; CS
B,2625.1625_0B,1/1/14,15:54:00,-999,-999,-999,-999,-999,-999,2625.1104_0Ac,F,151, 3P ; Ha ; CS
A,2625.3188_0Ac,1/1/14,19:54:00,99,45,61,-17,-273,-30,NULL,O,150,NULL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2625.3188_0Ac,Z,151,NULL
A,2625.5792_0A,1/2/14,1:54:00,-999,-999,-999,-999,-999,-999,NULL,O,150, FF
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2625.5792_0A,Z,152,NULL
A,2626.0792_0Ac,1/2/14,14:39:00,192,31,273,-33,-352,-38,2626.0792_0B,OP,150, SUR! 
B,2626.0792_0B,1/2/14,13:54:00,-999,-999,-999,-999,-999,-999,2626.0792_0Ac,OP,152, SUR!
A,2626.6000_0Ac,1/3/14,2:39:00,302,7,80,-268,-9,-272,2626.6208_0B,J,150, OVR
B,2626.6208_0B,1/3/14,2:54:00,-999,-999,-999,-999,-999,-999,2626.6000_0Ac,J,152, OVR
A,2626.6625_0Ac,1/3/14,4:24:00,294,82,2216,0,7005,8525,2626.6625_0Bc,OP,150,NULL
B,2626.6625_0Bc,1/3/14,4:25:03,301,37,1016,0,367,0,2626.6625_0Ac,OP,152,NULL
A,2627.3083_0A,1/3/14,19:24:00,-999,-999,-999,-999,-999,-999,2627.3292_0B,O,150, OFL
B,2627.3292_0B,1/3/14,19:54:00,-999,-999,-999,-999,-999,-999,2627.3083_0A,O,152, HAL ; faint
A,2628.0375_0Ac,1/4/14,14:39:00,183,17,22,-30,140,13,2628.1521_0B,OP,150, OVR
B,2628.1521_0B,1/4/14,15:39:00,-999,-999,-999,-999,-999,-999,2628.0375_0Ac,OP,152, OVR ; Gap
A,2628.2667_0Ac,1/4/14,18:24:00,165,70,361,0,-3017,169,2628.2771_0B,OP,150, OVR
B,2628.2771_0B,1/4/14,18:39:00,-999,-999,-999,-999,-999,-999,2628.2667_0Ac,OP,152, OVR ; Gap
A,2628.3083_0Ac,1/4/14,19:39:00,143,74,1050,153,1231,176,2628.3292_0Bc,LSP,150, OVR
B,2628.3292_0Bc,1/4/14,19:55:03,224,130,791,-99,1278,-181,2628.3083_0Ac,LSP,152, OVR ; Gap ; faint
A,2628.4542_0A,1/4/14,22:54:00,-999,-999,-999,-999,-999,-999,2628.4854_0Bc,LP,150,NULL
B,2628.4854_0Bc,1/4/14,23:40:03,69,60,532,0,487,-80,2628.4542_0A,FLP,152,NULL
A,2628.6306_0A,1/5/14,3:08:00,-999,-999,-999,-999,-999,-999,2628.6521_0B,JS,150,NULL
B,2628.6521_0B,1/5/14,3:39:00,-999,-999,-999,-999,-999,-999,2628.6306_0A,J,152,NULL
A,2628.8604_0Ac,1/5/14,9:24:00,288,35,417,14,209,11,NULL,F,150,NULL
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2628.8604_0Ac,Z,152,NULL
A,2629.1625_0Ac,1/5/14,16:24:00,255,13,771,60,22,-22,NULL,J,150, FF 
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2629.1625_0Ac,Z,152,NULL
A,2629.2667_0Ac,1/5/14,19:08:00,54,39,263,3,177,2,NULL,FO,150, faint
B,NULL,NULL,NULL,-999,-999,-999,-999,-999,-999,2629.2667_0Ac,Z,152,NULL
A,2629.8500_0Ac,1/6/14,8:24:00,87,130,1206,-97,1628,-489,NULL,O,150, HAL ; PRM
