no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download	pre_b_1h_download	pre_a_2h_download	pre_b_2h_download
1	2007-01-09	00:02:40	2007-01-09	*	45	*	353.555	353.415	0.219	0.079	0.251	0.103	0.150	2007-01-09 00:02:40		2007-01-08 23:02:40	NaT	2007-01-08 22:02:40	NaT	No img/double data	*	No img/double data	*
2	2007-01-15	12:02:40	2007-01-15	*	315	*	268.009	267.751	0.266	0.008	0.298	0.043	0.274	2007-01-15 12:02:40		2007-01-15 11:02:40	NaT	2007-01-15 10:02:40	NaT	No img/double data	*	No img/double data	*
3	2007-01-19	05:02:40	2007-01-19	05:02:44	0/360	45/215	219.214	218.872	0.298	-0.044	0.328	0.048	*	2007-01-19 05:02:40	2007-01-19 05:02:44	2007-01-19 04:02:40	2007-01-19 04:02:44	2007-01-19 03:02:40	2007-01-19 03:02:44	No img/double data	No img/double data	No img/double data	No img/double data
4	2007-01-24	06:02:40	2007-01-24	*	90	*	152.885	152.418	0.350	-0.118	0.378	0.140	0.516	2007-01-24 06:02:40		2007-01-24 05:02:40	NaT	2007-01-24 04:02:40	NaT	No img/double data	*	No img/double data	*
5	2007-01-24	15:02:40	2007-01-24	15:02:46	90	90	147.952	147.477	0.354	-0.121	0.382	0.147	*	2007-01-24 15:02:40	2007-01-24 15:02:46	2007-01-24 14:02:40	2007-01-24 14:02:46	2007-01-24 13:02:40	2007-01-24 13:02:46	No img/double data	No img/double data	No img/double data	No img/double data
6	2007-01-28	05:02:40	2007-01-28	*	90	*	100.817	100.295	0.398	-0.123	0.424	0.173	0.585	2007-01-28 05:02:40		2007-01-28 04:02:40	NaT	2007-01-28 03:02:40	NaT	No img/double data	*	No img/double data	*
7	2007-01-30	11:02:40	2007-01-30	12:02:48	270	270	71.223	70.679	0.430	-0.115	0.453	0.171	*	2007-01-30 11:02:40	2007-01-30 12:02:48	2007-01-30 10:02:40	2007-01-30 11:02:48	2007-01-30 09:02:40	2007-01-30 10:02:48	No img/double data	No img/double data	No img/double data	No img/double data
8	2007-02-02	02:02:40	2007-02-02	*	90	*	36.700	36.128	0.469	-0.103	0.490	0.163	0.633	2007-02-02 02:02:40		2007-02-02 01:02:40	NaT	2007-02-02 00:02:40	NaT	No img/double data	*	No img/double data	*
9	2007-02-09	17:02:40	2007-02-09	*	90	*	296.435	295.750	0.601	-0.084	0.615	0.130	0.725	2007-02-09 17:02:40		2007-02-09 16:02:40	NaT	2007-02-09 15:02:40	NaT	No img/double data	*	No img/double data	*
10	2007-02-11	15:02:40	2007-02-11	18:02:52	225	225	271.235	270.513	0.638	-0.084	0.650	0.124	*	2007-02-11 15:02:40	2007-02-11 18:02:52	2007-02-11 14:02:40	2007-02-11 17:02:52	2007-02-11 13:02:40	2007-02-11 16:02:52	No img/double data	No img/double data	No img/double data	No img/double data
11	2007-02-12	11:02:40	2007-02-12	*	90	*	260.279	259.540	0.654	-0.085	0.666	0.121	0.770	2007-02-12 11:02:40		2007-02-12 10:02:40	NaT	2007-02-12 09:02:40	NaT	No img/double data	*	No img/double data	*
12	2007-02-17	15:02:40	2007-02-17	15:02:54	90/135	90	192.357	191.495	0.764	-0.098	0.772	0.114	*	2007-02-17 15:02:40	2007-02-17 15:02:54	2007-02-17 14:02:40	2007-02-17 14:02:54	2007-02-17 13:02:40	2007-02-17 13:02:54	No img/double data	No img/double data	No img/double data	No img/double data
13	2007-02-19	16:02:40	2007-02-19	17:02:55	90	90	165.519	164.601	0.812	-0.107	0.817	*	*	2007-02-19 16:02:40	2007-02-19 17:02:55	2007-02-19 15:02:40	2007-02-19 16:02:55	2007-02-19 14:02:40	2007-02-19 15:02:55	No img/double data	No img/double data	No img/double data	No img/double data
14	2007-02-20	20:02:40	2007-02-20	20:02:55	270	270	150.184	149.231	0.840	-0.113	0.844	*	*	2007-02-20 20:02:40	2007-02-20 20:02:55	2007-02-20 19:02:40	2007-02-20 19:02:55	2007-02-20 18:02:40	2007-02-20 18:02:55	No img/double data	No img/double data	No img/double data	No img/double data
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56	No img/double data	No img/double data	No img/double data	No img/double data
