no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_3h_download_cor1	pre_b_3h_download_cor1	preevento_a_3h	preevento_b_3h	pre_a_2h_download_cor1	pre_b_2h_download_cor1
1	2007-01-09	00:02:40	2007-01-09	*	45	*	353.555	353.415	0.219	0.079	0.251	0.103	0.150	2007-01-09 00:02:40		2007-01-08 23:02:40	NaT	2007-01-08 22:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070108/', '20070108_210100_s4c1A.fts', '20070108_210110_s4c1A.fts', '20070108_210120_s4c1A.fts']	*	2007/01/08 21:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070108/', '20070108_223100_s4c1A.fts', '20070108_223110_s4c1A.fts', '20070108_223120_s4c1A.fts']	*
2	2007-01-15	12:02:40	2007-01-15	*	315	*	268.009	267.751	0.266	0.008	0.298	0.043	0.274	2007-01-15 12:02:40		2007-01-15 11:02:40	NaT	2007-01-15 10:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070115/', '20070115_085300_s4c1A.fts', '20070115_085309_s4c1A.fts', '20070115_085318_s4c1A.fts']	*	2007/01/15 09:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070115/', '20070115_095300_s4c1A.fts', '20070115_095309_s4c1A.fts', '20070115_095318_s4c1A.fts']	*
3	2007-01-19	05:02:40	2007-01-19	05:02:44	0/360	45/215	219.214	218.872	0.298	-0.044	0.328	0.048	*	2007-01-19 05:02:40	2007-01-19 05:02:44	2007-01-19 04:02:40	2007-01-19 04:02:44	2007-01-19 03:02:40	2007-01-19 03:02:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070119/', '20070119_015300_s4c1A.fts', '20070119_015309_s4c1A.fts', '20070119_015318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070119/', '20070119_015300_s4c1B.fts', '20070119_015309_s4c1B.fts', '20070119_015318_s4c1B.fts']	2007/01/19 02:02:40	2007/01/19 02:02:44	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070119/', '20070119_025300_s4c1A.fts', '20070119_025309_s4c1A.fts', '20070119_025318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070119/', '20070119_025300_s4c1B.fts', '20070119_025309_s4c1B.fts', '20070119_025318_s4c1B.fts']
4	2007-01-24	06:02:40	2007-01-24	*	90	*	152.885	152.418	0.350	-0.118	0.378	0.140	0.516	2007-01-24 06:02:40		2007-01-24 05:02:40	NaT	2007-01-24 04:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070124/', '20070124_025300_s4c1A.fts', '20070124_025309_s4c1A.fts', '20070124_025318_s4c1A.fts']	*	2007/01/24 03:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070124/', '20070124_035300_s4c1A.fts', '20070124_035309_s4c1A.fts', '20070124_035318_s4c1A.fts']	*
5	2007-01-24	15:02:40	2007-01-24	15:02:46	90	90	147.952	147.477	0.354	-0.121	0.382	0.147	*	2007-01-24 15:02:40	2007-01-24 15:02:46	2007-01-24 14:02:40	2007-01-24 14:02:46	2007-01-24 13:02:40	2007-01-24 13:02:46	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070124/', '20070124_115300_s4c1A.fts', '20070124_115309_s4c1A.fts', '20070124_115318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070124/', '20070124_115300_s4c1B.fts', '20070124_115309_s4c1B.fts', '20070124_115318_s4c1B.fts']	2007/01/24 12:02:40	2007/01/24 12:02:46	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070124/', '20070124_125300_s4c1A.fts', '20070124_125309_s4c1A.fts', '20070124_125318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070124/', '20070124_125300_s4c1B.fts', '20070124_125309_s4c1B.fts', '20070124_125318_s4c1B.fts']
6	2007-01-28	05:02:40	2007-01-28	*	90	*	100.817	100.295	0.398	-0.123	0.424	0.173	0.585	2007-01-28 05:02:40		2007-01-28 04:02:40	NaT	2007-01-28 03:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070128/', '20070128_015300_s4c1A.fts', '20070128_015309_s4c1A.fts', '20070128_015318_s4c1A.fts']	*	2007/01/28 02:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070128/', '20070128_025300_s4c1A.fts', '20070128_025309_s4c1A.fts', '20070128_025318_s4c1A.fts']	*
7	2007-01-30	11:02:40	2007-01-30	12:02:48	270	270	71.223	70.679	0.430	-0.115	0.453	0.171	*	2007-01-30 11:02:40	2007-01-30 12:02:48	2007-01-30 10:02:40	2007-01-30 11:02:48	2007-01-30 09:02:40	2007-01-30 10:02:48	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070130/', '20070130_075300_s4c1A.fts', '20070130_075309_s4c1A.fts', '20070130_075318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070130/', '20070130_085300_s4c1B.fts', '20070130_085309_s4c1B.fts', '20070130_085318_s4c1B.fts']	2007/01/30 08:02:40	2007/01/30 09:02:48	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070130/', '20070130_085300_s4c1A.fts', '20070130_085309_s4c1A.fts', '20070130_085318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070130/', '20070130_095300_s4c1B.fts', '20070130_095309_s4c1B.fts', '20070130_095318_s4c1B.fts']
8	2007-02-02	02:02:40	2007-02-02	*	90	*	36.700	36.128	0.469	-0.103	0.490	0.163	0.633	2007-02-02 02:02:40		2007-02-02 01:02:40	NaT	2007-02-02 00:02:40	NaT	No data	*	2007/02/01 23:02:40			*
9	2007-02-09	17:02:40	2007-02-09	*	90	*	296.435	295.750	0.601	-0.084	0.615	0.130	0.725	2007-02-09 17:02:40		2007-02-09 16:02:40	NaT	2007-02-09 15:02:40	NaT	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070209/', '20070209_135300_s4c1A.fts', '20070209_135309_s4c1A.fts', '20070209_135318_s4c1A.fts']	*	2007/02/09 14:02:40		['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070209/', '20070209_145300_s4c1A.fts', '20070209_145309_s4c1A.fts', '20070209_145318_s4c1A.fts']	*
10	2007-02-11	15:02:40	2007-02-11	18:02:52	225	225	271.235	270.513	0.638	-0.084	0.650	0.124	*	2007-02-11 15:02:40	2007-02-11 18:02:52	2007-02-11 14:02:40	2007-02-11 17:02:52	2007-02-11 13:02:40	2007-02-11 16:02:52	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070211/', '20070211_115300_s4c1A.fts', '20070211_115309_s4c1A.fts', '20070211_115318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070211/', '20070211_145300_s4c1B.fts', '20070211_145309_s4c1B.fts', '20070211_145318_s4c1B.fts']	2007/02/11 12:02:40	2007/02/11 15:02:52	['/gehme/data/stereo/secchi/L0/a/seq/cor1/20070211/', '20070211_125300_s4c1A.fts', '20070211_125309_s4c1A.fts', '20070211_125318_s4c1A.fts']	['/gehme/data/stereo/secchi/L0/b/seq/cor1/20070211/', '20070211_155300_s4c1B.fts', '20070211_155309_s4c1B.fts', '20070211_155318_s4c1B.fts']
