no[#]	date_a	time_a	date_b	time_b	PA_a[deg]	PA_b[deg]	clong a[deg]	clong b[deg]	hlong a[deg]	hlong b[deg]	angle e-a[deg]	angle b-e[deg]	angle b-a[deg]	evento_a	evento_b	preevento_a_1h	preevento_b_1h	preevento_a_2h	preevento_b_2h	pre_a_1h_download_c2	pre_b_1h_download_c2	pre_a_2h_download_c2	pre_b_2h_download_c2
1	2007-01-09	00:02:40	2007-01-09	*	45	*	353.555	353.415	0.219	0.079	0.251	0.103	0.150	2007-01-09 00:02:40		2007-01-08 23:02:40	NaT	2007-01-08 22:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070108/22243925.fts	*	/gehme/data/soho/lasco/level_05/c2/20070108/22243923.fts	*
2	2007-01-15	12:02:40	2007-01-15	*	315	*	268.009	267.751	0.266	0.008	0.298	0.043	0.274	2007-01-15 12:02:40		2007-01-15 11:02:40	NaT	2007-01-15 10:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070115/22244432.fts	*	/gehme/data/soho/lasco/level_05/c2/20070115/22244430.fts	*
3	2007-01-19	05:02:40	2007-01-19	05:02:44	0/360	45/215	219.214	218.872	0.298	-0.044	0.328	0.048	*	2007-01-19 05:02:40	2007-01-19 05:02:44	2007-01-19 04:02:40	2007-01-19 04:02:44	2007-01-19 03:02:40	2007-01-19 03:02:44	/gehme/data/soho/lasco/level_05/c2/20070119/22244795.fts	/gehme/data/soho/lasco/level_05/c2/20070119/22244795.fts	/gehme/data/soho/lasco/level_05/c2/20070119/22244792.fts	/gehme/data/soho/lasco/level_05/c2/20070119/22244792.fts
4	2007-01-24	06:02:40	2007-01-24	*	90	*	152.885	152.418	0.350	-0.118	0.378	0.140	0.516	2007-01-24 06:02:40		2007-01-24 05:02:40	NaT	2007-01-24 04:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070124/22245310.fts	*	/gehme/data/soho/lasco/level_05/c2/20070124/22245307.fts	*
5	2007-01-24	15:02:40	2007-01-24	15:02:46	90	90	147.952	147.477	0.354	-0.121	0.382	0.147	*	2007-01-24 15:02:40	2007-01-24 15:02:46	2007-01-24 14:02:40	2007-01-24 14:02:46	2007-01-24 13:02:40	2007-01-24 13:02:46	/gehme/data/soho/lasco/level_05/c2/20070124/22245330.fts	/gehme/data/soho/lasco/level_05/c2/20070124/22245330.fts	/gehme/data/soho/lasco/level_05/c2/20070124/22245329.fts	/gehme/data/soho/lasco/level_05/c2/20070124/22245329.fts
6	2007-01-28	05:02:40	2007-01-28	*	90	*	100.817	100.295	0.398	-0.123	0.424	0.173	0.585	2007-01-28 05:02:40		2007-01-28 04:02:40	NaT	2007-01-28 03:02:40	NaT	No data	*	No data	*
7	2007-01-30	11:02:40	2007-01-30	12:02:48	270	270	71.223	70.679	0.430	-0.115	0.453	0.171	*	2007-01-30 11:02:40	2007-01-30 12:02:48	2007-01-30 10:02:40	2007-01-30 11:02:48	2007-01-30 09:02:40	2007-01-30 10:02:48	/gehme/data/soho/lasco/level_05/c2/20070130/22245640.fts	/gehme/data/soho/lasco/level_05/c2/20070130/22245643.fts	/gehme/data/soho/lasco/level_05/c2/20070130/22245637.fts	/gehme/data/soho/lasco/level_05/c2/20070130/22245640.fts
8	2007-02-02	02:02:40	2007-02-02	*	90	*	36.700	36.128	0.469	-0.103	0.490	0.163	0.633	2007-02-02 02:02:40		2007-02-02 01:02:40	NaT	2007-02-02 00:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070202/22245818.fts	*	/gehme/data/soho/lasco/level_05/c2/20070202/22245816.fts	*
9	2007-02-09	17:02:40	2007-02-09	*	90	*	296.435	295.750	0.601	-0.084	0.615	0.130	0.725	2007-02-09 17:02:40		2007-02-09 16:02:40	NaT	2007-02-09 15:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070209/22246336.fts	*	/gehme/data/soho/lasco/level_05/c2/20070209/22246333.fts	*
10	2007-02-11	15:02:40	2007-02-11	18:02:52	225	225	271.235	270.513	0.638	-0.084	0.650	0.124	*	2007-02-11 15:02:40	2007-02-11 18:02:52	2007-02-11 14:02:40	2007-02-11 17:02:52	2007-02-11 13:02:40	2007-02-11 16:02:52	/gehme/data/soho/lasco/level_05/c2/20070211/22246467.fts	/gehme/data/soho/lasco/level_05/c2/20070211/22246476.fts	/gehme/data/soho/lasco/level_05/c2/20070211/22246464.fts	/gehme/data/soho/lasco/level_05/c2/20070211/22246473.fts
11	2007-02-12	11:02:40	2007-02-12	*	90	*	260.279	259.540	0.654	-0.085	0.666	0.121	0.770	2007-02-12 11:02:40		2007-02-12 10:02:40	NaT	2007-02-12 09:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070212/22246526.fts	*	/gehme/data/soho/lasco/level_05/c2/20070212/22246523.fts	*
12	2007-02-17	15:02:40	2007-02-17	15:02:54	90/135	90	192.357	191.495	0.764	-0.098	0.772	0.114	*	2007-02-17 15:02:40	2007-02-17 15:02:54	2007-02-17 14:02:40	2007-02-17 14:02:54	2007-02-17 13:02:40	2007-02-17 13:02:54	/gehme/data/soho/lasco/level_05/c2/20070217/22247070.fts	/gehme/data/soho/lasco/level_05/c2/20070217/22247070.fts	/gehme/data/soho/lasco/level_05/c2/20070217/22247065.fts	/gehme/data/soho/lasco/level_05/c2/20070217/22247065.fts
13	2007-02-19	16:02:40	2007-02-19	17:02:55	90	90	165.519	164.601	0.812	-0.107	0.817	*	*	2007-02-19 16:02:40	2007-02-19 17:02:55	2007-02-19 15:02:40	2007-02-19 16:02:55	2007-02-19 14:02:40	2007-02-19 15:02:55	No data	No data	No data	No data
14	2007-02-20	20:02:40	2007-02-20	20:02:55	270	270	150.184	149.231	0.840	-0.113	0.844	*	*	2007-02-20 20:02:40	2007-02-20 20:02:55	2007-02-20 19:02:40	2007-02-20 19:02:55	2007-02-20 18:02:40	2007-02-20 18:02:55	No data	No data	No data	No data
15	2007-02-24	14:02:40	2007-02-24	15:02:56	90	90	100.894	99.821	0.937	-0.136	0.938	*	*	2007-02-24 14:02:40	2007-02-24 15:02:56	2007-02-24 13:02:40	2007-02-24 14:02:56	2007-02-24 12:02:40	2007-02-24 13:02:56	/gehme/data/soho/lasco/level_05/c2/20070224/22247449.fts	/gehme/data/soho/lasco/level_05/c2/20070224/22247454.fts	/gehme/data/soho/lasco/level_05/c2/20070224/22247444.fts	/gehme/data/soho/lasco/level_05/c2/20070224/22247449.fts
16	2007-03-05	02:27:00	2007-03-05	*	315	*	348.954	347.550	1.194	-0.210	1.188	0.210	*	2007-03-05 02:27:00		2007-03-05 01:27:00	NaT	2007-03-05 00:27:00	NaT	/gehme/data/soho/lasco/level_05/c2/20070305/22247738.fts	*	/gehme/data/soho/lasco/level_05/c2/20070305/22247732.fts	*
17	2007-03-05	15:57:00	2007-03-05	*	45	*	341.562	340.133	1.212	-0.217	1.206	0.217	*	2007-03-05 15:57:00		2007-03-05 14:57:00	NaT	2007-03-05 13:57:00	NaT	/gehme/data/soho/lasco/level_05/c2/20070305/22247819.fts	*	/gehme/data/soho/lasco/level_05/c2/20070305/22247813.fts	*
18	2007-03-07	07:27:00	2007-03-07	*	270	*	319.933	318.429	1.268	-0.236	1.261	0.237	*	2007-03-07 07:27:00		2007-03-07 06:27:00	NaT	2007-03-07 05:27:00	NaT	/gehme/data/soho/lasco/level_05/c2/20070307/22248028.fts	*	/gehme/data/soho/lasco/level_05/c2/20070307/22248022.fts	*
19	2007-03-09	19:02:40	2007-03-09	*	270	*	287.308	285.685	1.355	-0.268	1.346	0.271	*	2007-03-09 19:02:40		2007-03-09 18:02:40	NaT	2007-03-09 17:02:40	NaT	/gehme/data/soho/lasco/level_05/c2/20070309/22248389.fts	*	/gehme/data/soho/lasco/level_05/c2/20070309/22248383.fts	*
20	2007-03-12	00:02:40	2007-03-12	00:03:01	90	90	258.289	256.554	1.436	-0.299	1.426	*	*	2007-03-12 00:02:40	2007-03-12 00:03:01	2007-03-11 23:02:40	2007-03-11 23:03:01	2007-03-11 22:02:40	2007-03-11 22:03:01	/gehme/data/soho/lasco/level_05/c2/20070311/22248714.fts	/gehme/data/soho/lasco/level_05/c2/20070311/22248714.fts	/gehme/data/soho/lasco/level_05/c2/20070311/22248709.fts	/gehme/data/soho/lasco/level_05/c2/20070311/22248709.fts
21	2007-03-15	18:02:40	2007-03-15	14:03:03	270	270	211.192	209.262	1.573	-0.357	1.562	*	*	2007-03-15 18:02:40	2007-03-15 14:03:03	2007-03-15 17:02:40	2007-03-15 13:03:03	2007-03-15 16:02:40	2007-03-15 12:03:03	/gehme/data/soho/lasco/level_05/c2/20070315/22249196.fts	/gehme/data/soho/lasco/level_05/c2/20070315/22249173.fts	/gehme/data/soho/lasco/level_05/c2/20070315/22249190.fts	/gehme/data/soho/lasco/level_05/c2/20070315/22249171.fts
22	2007-03-20	14:57:00	2007-03-20	*	225	*	144.998	142.765	1.781	-0.452	1.767	0.464	*	2007-03-20 14:57:00		2007-03-20 13:57:00	NaT	2007-03-20 12:57:00	NaT	/gehme/data/soho/lasco/level_05/c2/20070320/22249753.fts	*	/gehme/data/soho/lasco/level_05/c2/20070320/22249750.fts	*
23	2007-03-21	05:57:00	2007-03-21	04:57:25	90	90	137.333	135.063	1.806	-0.464	1.792	*	*	2007-03-21 05:57:00	2007-03-21 04:57:25	2007-03-21 04:57:00	2007-03-21 03:57:25	2007-03-21 03:57:00	2007-03-21 02:57:25	/gehme/data/soho/lasco/level_05/c2/20070321/22249838.fts	/gehme/data/soho/lasco/level_05/c2/20070321/22249832.fts	/gehme/data/soho/lasco/level_05/c2/20070321/22249832.fts	/gehme/data/soho/lasco/level_05/c2/20070321/22249826.fts
24	2007-03-27	14:27:00	2007-03-27	15:27:27	225	225	137.333	135.063	1.806	-0.464	1.792	0.477	*	2007-03-27 14:27:00	2007-03-27 15:27:27	2007-03-27 13:27:00	2007-03-27 14:27:27	2007-03-27 12:27:00	2007-03-27 13:27:27	/gehme/data/soho/lasco/level_05/c2/20070327/22250322.fts	/gehme/data/soho/lasco/level_05/c2/20070327/22250325.fts	/gehme/data/soho/lasco/level_05/c2/20070327/22250320.fts	/gehme/data/soho/lasco/level_05/c2/20070327/22250322.fts
