HEL	CME	Pre-event		Last full visibility COR 2		GCS PARAMETER						HI-Date		FIT		HI List								
no	no	date	time	date	time	carlon	stoney	lat	tilt	Asp. Ratio	h_angle	date	time	APEX SPEED	CME-Mass	SpeedFPF	FPF		SpeedSSEF	SSEF		SpeedHMF	HMF	
-	-	yyyymmdd	hhmm	yyyymmdd	hhmm	deg	lon, old	deg	deg	-	deg		hhmm	km/s	g	km/s	LON	LAT	km/s	LON	LAT	km/s	LON	LAT
1	35	2007-05-09	02:22	2007-05-09	12:52	88	-116	1	-17	0,43	10,1	2007-05-09	10:50	282	9,50E+15	256	-92	0	274	-105	1	297	-120	1
2	38	2007-05-15	18:52	2007-05-16	01:22	39	-79	13	52	0,35	28,2	2007-05-16	00:50	352	4,00E+15	352	-47	7	368	-53	8	378	-59	8
3	49	2007-06-04	17:00	2007-06-05	09:23	320	111	-10	2	0,45	28	2007-06-05	09:29	192	3,80E+15	319	92	0	347	107	0	381	123	0
4	50	2007-06-07	18:30	2007-06-08	03:54	240	68	-12	-10	0,26	17	2007-06-08	03:29	292	1,60E+15	469	57	-22	479	61	-23	485	66	-23
5	60	2007-07-08	16:52	2007-07-09	00:52	55	-69	-8	7	0,23	24,6	2007-07-08	22:49	337	5,00E+14	504	-72	11	546	-86	9	593	-102	7
6	71	2007-08-21	07:00	2007-08-21	14:23	25	118	-13	33	0,24	13,1	2007-08-21	15:30	409	2,90E+15	407	76	-15	437	90	-16	475	106	-16
7	78	2007-10-08	14:20	2007-10-09	01:24	40	52	10	1	0,3	12,6	2007-10-09	00:49	238	2,80E+15	334	34	8	343	38	8	348	43	8
8	83	2007-11-04	10:22	2007-11-04	22:52	310	-43	12	-27	0,3	18,5	2007-11-04	21:29	259	3,10E+15	425	-33	9	440	-39	9	449	-44	10
9	86	2007-11-16	09:20	2007-11-16	16:23	323	125	-15	6	0,32	18,4	2007-11-16	20:09	344	1,60E+15	334	-44	9	343	-50	9	348	-56	10
10	92	2007-12-31	00:22	2007-12-31	03:52	244	-88	-14	-58	0,33	23	2007-12-31	02:49	844	6,00E+15	347	-36	-24	391	-52	-25	430	-69	-25
11	93	2008-01-02	09:52	2008-01-02	13:22	249	-52	-8	13	0,43	9,5	2008-01-02	12:49	773	6,10E+15	681	-56	-6	711	-66	-5	741	-77	-4
12	96	2008-01-29	00:22	2008-01-29	08:23	53	105	3	5	0,23	10,3	2008-01-29	10:09	255	1,30E+15	345	106	6	384	129	5	427	-131	3
13	100	2008-02-12	01:52	2008-02-12	16:22	214	95	-26	4	0,37	17,9	2008-02-12	16:09	227	4,60E+15	373	62	-30	471	74	-29	623	85	-27
14	104	2008-02-23	17:52	2008-02-24	08:22	206	-120	19	25	0,24	11,7	2008-02-24	07:29	202	3,80E+15	338	-79	21	384	-99	21	445	-121	18
15	107	2008-03-17	09:52	2008-03-17	19:53	72	43	7	35	0,2	7,8	2008-03-17	19:29	258	3,30E+15	311	31	4	320	35	5	325	39	6
16	111	2008-03-25	18:22	2008-03-25	21:22	198	-85	-7	-8	0,49	21,5	2008-03-25	20:09	975	3,10E+15	619	-78	1	728	-98	3	900	-122	4
17	121	2008-04-26	14:21	2008-04-26	18:22	203	-19	6	15	0,22	14	2008-04-26	19:29	669	2,60E+15	294	4	13	312	-2	9	324	-7	5
18	125	2008-05-17	09:52	2008-05-17	12:52	264	-44	-12	0	0,38	11,7	2008-05-17	12:49	999	8,00E+14	709	-49	-5	780	-64	-5	861	-81	-5
19	130	2008-06-01	12:22	2008-06-02	10:22	49	-48	-3	0	0,39	21,2	2008-06-02	07:29	204	3,90E+15	357	-22	-2	372	-28	-2	381	-35	-3
20	158	2008-10-26	18:00	2008-10-27	06:24	9	52	-1	0	0,36	12,9	2008-10-27	04:49	216	2,90E+15	437	33	2	453	42	1	468	51	0
21	176	2008-12-12	06:52	2008-12-12	14:52	70	4	5	51	0,27	10,1	2008-12-12	14:09	419	4,50E+15	456	-22	11	470	-29	13	481	-36	14
22	179	2008-12-27	04:52	2008-12-27	12:22	199	-30	16	-44	0,26	7,8	2008-12-27	10:49	527	2,30E+15	440	-36	13	464	-47	15	488	-60	16
23	186	2009-01-14	05:22	2009-01-14	12:22	326	-26	2	-45	0,25	18,5	2009-01-14	08:49	426	3,00E+15	484	-28	2	503	-35	3	521	-42	4
24	195	2009-02-10	23:52	2009-02-11	07:22	347	0	-7	3	0,22	10,6	2009-02-11	05:29	316	3,00E+15	250	-39	-6	257	-47	-5	264	-56	-4
25	198	2009-02-18	04:22	2009-02-18	16:52	202	-47	11	-1	0,3	24,6	2009-02-18	15:29	282	2,40E+15	333	-30	13	349	-41	15	366	-53	16
26	226	2009-04-23	16:22	2009-04-24	09:22	38	-78	-2	-20	0,31	8,9	2009-04-23	06:49	478	6,50E+15	320	-49	29	352	-66	27	395	-83	22
27	262	2009-08-04	05:22	2009-08-05	00:22	222	24	-3	0	0,29	12	2009-08-05	01:29	311	4,70E+15	359	6	-8	366	3	-9	370	0	-9
28	288	2009-10-31	03:08	2009-10-31	10:08	157	33	-3	-36	0,4	12,9	2009-10-31	10:09	383	5,30E+15	373	24	-6	391	26	-6	399	29	-6
29	299	2009-11-21	07:08	2009-11-21	15:09	169	-36	-2	6	0,39	13,7	2009-11-21	18:09	320	4,10E+15	353	-8	12	358	-9	12	360	-10	12
30	307	2009-12-16	02:08	2009-12-16	07:08	238	-2	7	-6	0,31	22,4	2009-12-16	08:09	371	2,20E+15	416	-22	5	446	-36	6	479	-51	7
31	325	2010-02-01	14:08	2010-02-01	22:09	39	67	-18	15	0,28	23,2	2010-02-02	00:49	382	6,70E+15	406	33	-28	420	37	-26	429	41	-24
32	333	2010-02-11	12:00	2010-02-12	01:10	219	20	-16	-23	0,23	16,5	2010-02-12	10:49	212	2,00E+14	630	5	-5	673	19	-5	719	33	-5
33	337	2010-02-13	20:08	2010-02-14	06:08	198	28	11	-27	0,33	17,9	2010-02-14	10:09	246	2,40E+15	499	34	13	522	41	9	539	48	5
34	347	2010-02-24	12:08	2010-02-25	01:08	340	-48	-24	-20	0,34	18,2	2010-02-24	23:29	317	2,00E+15	465	-36	-24	521	-55	-20	593	-74	-14
35	351	2010-03-01	00:08	2010-03-01	07:08	19	47	-19	5	0,4	18,2	2010-03-01	06:09	315	3,20E+15	531	-10	-34	553	-22	-34	575	-33	-33
36	369	2010-03-19	10:08	2010-03-19	21:08	106	19	-12	-7	0,39	18,7	2010-03-19	20:49	267	2,60E+15	362	27	-4	374	27	-4	379	28	-4
37	373	2010-03-26	07:08	2010-03-26	17:08	21	24	-1	-40	0,24	9,8	2010-03-26	18:09	244	3,80E+15	391	19	0	403	15	0	409	11	0
38	377	2010-03-30	00:08	2010-03-30	13:08	254	-52	-29	-17	0,41	14,5	2010-03-30	12:49	242	1,60E+16	544	-29	-30	631	-52	-27	756	-76	-19
39	391	2010-04-18	21:08	2010-04-19	05:08	92	45	-21	13	0,51	15,9	2010-04-19	06:09	362	5,00E+15	449	26	-23	470	20	-26	482	13	-29
40	392	2010-04-19	18:08	2010-04-20	00:08	86	50	26	-28	0,62	10,9	2010-04-20	02:09	428	6,50E+15	405	10	27	427	-2	29	447	-15	30
41	416	2010-05-23	14:08	2010-05-23	23:09	321	13	8	-10	0,48	14	2010-05-23	23:29	394	3,20E+15	355	2	3	378	14	4	400	27	6
42	434	2010-06-16	10:08	2010-06-16	21:08	326	-25	3	-8	0,26	24,6	2010-06-16	22:09	238	2,10E+15	373	-13	14	381	-9	15	386	-6	15
43	474	2010-08-14	10:08	2010-08-14	13:08	353	58	-5	3	0,82	31	2010-08-14	12:49	952	6,90E+15	668	-4	-9	723	-18	-10	787	-34	-11
44	476	2010-08-15	08:08	2010-08-15	15:08	311	31	33	-25	0,37	21,5	2010-08-15	14:49	336	3,60E+15	406	35	28	423	29	30	433	24	32
45	519	2010-10-10	22:08	2010-10-11	07:09	226	-26	7	-41	0,52	35,5	2010-10-11	07:30	339	3,40E+15	353	-37	14	361	-38	14	365	-39	13
46	546	2010-11-16	06:08	2010-11-16	16:08	86	-47	-26	-3	0,38	19,3	2010-11-16	16:09	422	2,50E+15	411	-19	-28	453	-37	-24	506	-55	-16
47	561	2010-12-06	17:08	2010-12-07	00:08	163	-62	-35	46	0,41	16,5	2010-12-07	01:29	386	9,20E+15	748	-44	-20	933	-66	-9	1213	-91	-5
48	566	2010-12-12	04:08	2010-12-12	09:09	215	61	-14	11	0,4	24,9	2010-12-12	12:49	515	9,40E+15	462	-44	34	471	-47	33	477	-50	31
49	568	2010-12-14	15:08	2010-12-14	18:09	172	50	30	-37	0,25	21	2010-12-14	20:49	1050	5,00E+15	402	15	39	455	36	32	527	56	21
50	574	2010-12-23	04:08	2010-12-23	13:08	350	-17	-14	-16	0,46	10,3	2010-12-23	12:49	334	2,70E+15	500	43	26	518	42	26	534	42	26
51	587	2011-01-09	20:08	2011-01-10	07:08	200	67	21	-35	0,26	8,4	2011-01-10	09:29	339	2,30E+15	552	-25	31	680	-39	20	743	94	8
52	603	2011-01-24	01:08	2011-01-24	10:08	4	57	-8	-40	0,15	7	2011-01-24	09:29	577	4,70E+15	394	14	-6	399	13	-6	403	12	-6
53	612	2011-01-30	00:08	2011-01-30	20:08	182	-40	-12	-20	0,26	11,7	2011-01-30	13:29	309	5,60E+15	311	11	-16	317	4	-15	323	-3	-15
54	622	2011-02-14	13:08	2011-02-15	00:08	0	-23	7	12	0,28	23,2	2011-02-14	20:09	331	3,40E+15	514	-1	0	546	-14	1	581	-27	1
55	624	2011-02-16	02:08	2011-02-16	08:08	340	-25	31	-20	0,39	20,7	2011-02-16	08:49	427	2,50E+15	637	-29	30	769	-47	22	852	-62	13
56	635	2011-03-03	01:08	2011-03-03	10:08	160	-6	-22	-20	0,3	12,9	2011-03-03	07:29	465	3,10E+15	487	29	-17	491	31	-17	494	33	-17
